"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"Travis Kelce","KC","6.3","79.1","0.7","0.1","14.9"
"Darren Waller","LV","6.3","68.0","0.6","0.1","13.2"
"Hunter Henry","LAC","4.4","50.4","0.5","0.0","9.9"
"T.J. Hockenson","DET","4.4","50.0","0.4","0.0","9.9"
"Dallas Goedert","PHI","3.9","43.3","0.4","0.0","8.8"
"Evan Engram","NYG","4.5","51.6","0.2","0.0","8.4"
"Robert Tonyan","GB","3.3","39.2","0.4","0.0","8.2"
"Eric Ebron","PIT","4.0","42.8","0.3","0.0","7.8"
"Noah Fant","DEN","4.0","46.3","0.2","0.0","7.6"
"Hayden Hurst","ATL","3.9","43.5","0.2","0.0","7.4"
"Austin Hooper","CLE","3.8","41.1","0.2","0.0","7.3"
"Jordan Reed","SF","3.9","39.8","0.2","0.0","7.1"
"Mike Gesicki","MIA","3.3","41.1","0.2","0.0","7.1"
"Kyle Rudolph","MIN","3.4","37.1","0.2","0.0","6.8"
"Mark Andrews","BAL","2.8","33.8","0.3","0.0","6.5"
"Dalton Schultz","DAL","3.8","36.8","0.1","0.0","6.4"
"Jordan Akins","HOU","3.3","37.8","0.2","0.0","6.4"
"Trey Burton","IND","3.2","33.3","0.2","0.0","6.2"
"Anthony Firkser","TEN","3.1","34.8","0.2","0.0","6.1"
"Zach Ertz","PHI","3.4","35.8","0.1","0.0","6.1"
"Jimmy Graham","CHI","2.9","32.4","0.2","0.0","5.8"
"Logan Thomas","WAS","3.3","32.6","0.1","0.0","5.7"
"Tyler Higbee","LAR","2.7","30.7","0.2","0.0","5.4"
"Tyler Eifert","JAC","2.7","27.9","0.1","0.0","4.9"
"Gerald Everett","LAR","2.5","27.6","0.1","0.0","4.6"
"Jacob Hollister","SEA","2.6","24.8","0.1","0.0","4.5"
"Jared Cook","NO","2.0","27.8","0.1","0.0","4.5"
"Drew Sample","CIN","2.5","24.0","0.1","0.0","3.9"
"Mo Alie-Cox","IND","1.7","23.6","0.1","0.0","3.9"
"Harrison Bryant","CLE","1.9","20.4","0.2","0.0","3.9"
"Darren Fells","HOU","1.7","19.8","0.2","0.0","3.7"
"Chris Herndon IV","NYJ","1.7","18.9","0.1","0.1","3.3"
"Will Dissly","SEA","1.5","18.0","0.1","0.0","3.3"
"Dan Arnold","ARI","1.5","18.6","0.1","0.0","3.2"
"Dawson Knox","BUF","1.6","19.6","0.1","0.0","3.2"
"Cole Kmet","CHI","1.4","16.4","0.1","0.0","2.9"
"David Njoku","CLE","1.3","15.5","0.1","0.0","2.9"
"Ryan Izzo","NE","1.3","18.2","0.1","0.0","2.9"
"Jack Doyle","IND","1.4","14.9","0.1","0.0","2.7"
"James O'Shaughnessy","JAC","1.6","15.2","0.1","0.0","2.7"
"Ross Dwelley","SF","1.4","14.3","0.1","0.0","2.7"
"Durham Smythe","MIA","1.3","12.4","0.1","0.0","2.5"
"Kahale Warring","HOU","1.3","13.7","0.1","0.0","2.5"
"MyCole Pruitt","TEN","1.1","11.5","0.1","0.0","2.5"
"Geoff Swaim","TEN","1.5","12.6","0.1","0.0","2.5"
"Luke Willson","BAL","1.3","12.2","0.1","0.0","2.4"
"Richard Rodgers","PHI","1.2","14.5","0.1","0.0","2.4"
"Adam Shaheen","MIA","1.0","10.9","0.1","0.0","2.3"
"Pharaoh Brown","HOU","1.1","11.9","0.1","0.0","2.2"
"Marcedes Lewis","GB","1.0","10.3","0.1","0.0","2.2"
"Maxx Williams","ARI","1.3","12.1","0.1","0.0","2.2"
"Jesse James","DET","1.3","13.0","0.0","0.0","2.2"
"Tyler Kroft","BUF","1.1","10.1","0.1","0.0","2.2"
"Foster Moreau","LV","0.9","10.0","0.1","0.0","2.1"
"Troy Fumagalli","DEN","1.1","11.9","0.1","0.0","2.1"
"Lee Smith","BUF","1.0","8.5","0.1","0.0","2.0"
"Ricky Seals-Jones","KC","0.8","9.6","0.1","0.0","2.0"
"Kaden Smith","NYG","1.3","10.6","0.0","0.0","1.9"
"Nick Vannett","DEN","1.1","10.5","0.1","0.0","1.9"
"Ryan Griffin","NYJ","1.1","10.6","0.0","0.0","1.9"
"Gabe Nabers","LAC","1.2","12.9","0.0","0.0","1.9"
"Jason Witten","LV","1.0","9.3","0.1","0.0","1.8"
"Jace Sternberger","GB","1.0","9.7","0.1","0.0","1.8"
"Adam Trautman","NO","0.9","10.3","0.1","0.0","1.8"
"Brycen Hopkins","LAR","0.8","7.8","0.1","0.0","1.8"
"Tyler Conklin","MIN","0.9","9.1","0.1","0.0","1.7"
"Farrod Green","IND","0.7","7.5","0.1","0.0","1.7"
"Donald Parham Jr.","LAC","0.8","10.1","0.0","0.0","1.7"
"Josh Hill","NO","1.0","9.7","0.0","0.0","1.6"
"Jason Croom","PHI","0.7","6.9","0.1","0.0","1.6"
"Caleb Wilson","PHI","0.7","6.7","0.1","0.0","1.6"
"Brandon Dillon","MIN","1.0","11.1","0.0","0.0","1.6"
"Jordan Thomas","NE","0.6","6.2","0.1","0.0","1.5"
"Daniel Helm","SF","0.6","6.2","0.1","0.0","1.5"
"Demetrius Harris","CHI","0.8","7.9","0.0","0.0","1.4"
"Stephen Carlson","CLE","0.7","7.8","0.0","0.0","1.3"
"Nick Keizer","KC","0.8","9.0","0.0","0.0","1.3"
"Seth DeValve","ARI","0.7","7.9","0.0","0.0","1.3"
"Jaeden Graham","ATL","0.7","8.4","0.0","0.0","1.3"
"Vance McDonald","PIT","0.8","8.7","0.0","0.0","1.3"
"Blake Bell","DAL","0.8","8.3","0.0","0.0","1.3"
"Eric Tomlinson","BAL","0.7","7.1","0.0","0.0","1.2"
"Evan Baylis","ARI","0.6","5.4","0.1","0.0","1.1"
"Isaac Nauta","DET","0.7","7.7","0.0","0.0","1.1"
"Colby Parkinson","SEA","0.5","5.4","0.0","0.0","1.0"
"Charlie Woerner","SF","0.5","5.4","0.0","0.0","1.0"
"Jakob Johnson","NE","0.4","1.8","0.1","0.0","1.0"
"Eric Saubert","JAC","0.6","6.2","0.0","0.0","1.0"
"Luke Stocker","ATL","0.7","6.1","0.0","0.0","1.0"
"Sean Culkin","BAL","0.6","6.5","0.0","0.0","0.9"
"Deon Yelder","KC","0.5","5.7","0.0","0.0","0.9"
"Derek Carrier","LV","0.5","4.5","0.0","0.0","0.9"
"Cethan Carter","CIN","0.5","6.3","0.0","0.0","0.9"
"Levine Toilolo","NYG","0.5","6.2","0.0","0.0","0.9"
"Hunter Bryant","DET","0.5","5.0","0.0","0.0","0.7"
"Temarrick Hemingway","WAS","0.5","5.0","0.0","0.0","0.7"
"Johnny Mundt","LAR","0.4","4.6","0.0","0.0","0.7"
"Andrew Beck","DEN","0.2","2.1","0.1","0.0","0.6"
"Jeremy Sprinkle","WAS","0.4","3.6","0.0","0.0","0.6"
"J.P. Holtz","CHI","0.3","3.5","0.0","0.0","0.5"
"Reggie Gilliam","BUF","0.3","3.0","0.0","0.0","0.5"
"Stephen Anderson","LAC","0.2","2.3","0.0","0.0","0.3"
"Mason Schreck","CIN","0.2","2.1","0.0","0.0","0.3"
"Daniel Brown","NYJ","0.2","2.0","0.0","0.0","0.3"
"Sean McKeon","DAL","0.2","2.0","0.0","0.0","0.3"
"Kevin Rader","PIT","0.1","1.0","0.0","0.0","0.2"
""
""